# List Network Requests

| reqid | method | url | status |
|---|---|---|---|
| 4 | GET | http://localhost:8000/dashboard?country=india | success - 200 |
| 5 | GET | https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=Outfit:wght@300;400;600;800&display=swap | success - 200 |
| 6 | GET | http://localhost:8000/static/style.css?v=4.8 | success - 200 |
| 7 | GET | https://cdn.jsdelivr.net/npm/chart.js | success - 200 |
| 8 | GET | http://localhost:8000/static/dashboard.js?v=4.8 | success - 200 |
| 9 | GET | https://www.gstatic.com/firebasejs/10.7.1/firebase-app-compat.js | success - 200 |
| 10 | GET | https://www.gstatic.com/firebasejs/10.7.1/firebase-auth-compat.js | success - 200 |
| 11 | GET | https://www.gstatic.com/firebasejs/10.7.1/firebase-messaging-compat.js | success - 200 |
| 12 | GET | https://images.unsplash.com/photo-1614064641938-3bbee52942c7?auto=format&fit=crop&w=400&q=80 | success - 200 |
| 13 | GET | https://images.unsplash.com/photo-1639762681485-074b7f938ba0?auto=format&fit=crop&w=400&q=80 | success - 200 |
| 14 | GET | https://images.unsplash.com/photo-1557804506-669a67965ba0?auto=format&fit=crop&w=800&q=80 | success - 200 |
| 15 | GET | https://ui-avatars.com/api/?background=random&color=fff&name=User | success - 200 |
| 16 | GET | https://images.news18.com/ibnlive/uploads/2026/02/David-Headley-2026-02-83f94c75ec56460de0b4746432cb2392-1200x800.jpg | success - 200 |
| 17 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Keralam-2026-02-a77853b4526528de9255c117d749587f-1200x800.png | success - 200 |
| 18 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Untitled-design-2026-02-25T144918.015-2026-02-d7f2f8fa287a3f0dc7b16f2be267e983-1200x800.jpg | success - 200 |
| 19 | GET | https://images.news18.com/ibnlive/uploads/2026/02/donald-trump-us-tariffs-2026-02-d7c3ae76ba8c900f7cf849370af96b54-1200x800.png | success - 200 |
| 20 | GET | https://images.news18.com/ibnlive/uploads/2026/02/allahabad-HC-verdict-on-pension-case-2026-02-21e3088848eb30868a0d25e411cddf2f-1200x800.png | success - 200 |
| 21 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Untitled-design-2026-02-25T141840.869-2026-02-898f842b16d21f2eb34e375e983e0de1-1200x800.jpg | success - 200 |
| 22 | GET | https://images.news18.com/ibnlive/uploads/2026/02/1-6-2026-02-777485605a67c1369d87bb7b6e556e40-3x2.png | success - 200 |
| 23 | GET | https://images.news18.com/ibnlive/uploads/2026/02/rising-bharat-2026-02-9bd0bcee034ddede3a757efce323f527-1200x800.png | success - 200 |
| 24 | GET | https://images.news18.com/ibnlive/uploads/2026/01/Flight-Travel-2026-01-45cddc62b0fc128ded1c3263fabb4b13-3x2.png | success - 200 |
| 25 | GET | https://images.news18.com/ibnlive/uploads/2026/02/1772014995_f9803e32-51b0-428e-9653-7bc2478e378a-1200x720.jpeg | success - 200 |
| 26 | GET | https://images.news18.com/ibnlive/uploads/2026/02/1772014993_f680a577-c1ff-42f6-a0a1-6407dce1a90d-1200x720.jpeg | success - 200 |
| 27 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Atal-Institute-of-Medical-Super-Specialties-AIMSS-in-Shimla-Himachal-Pradesh-2026-02-56d28b3e9367524e1049fb71d1aca808-1200x800.png | success - 200 |
| 28 | GET | https://images.news18.com/ibnlive/uploads/2026/02/malviya-nagar-racial-abuse-2026-02-256eafb2eb8d209ed1f1be6649392bb7-1200x800.jpg | success - 200 |
| 29 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Created-in-1931-this-choker-featured-platinum-rubies-diamonds-and-elegant-pearls-2026-02-25T133503.654-2026-02-2f0ef1cfe28d901fad91598f5c925d3a-1200x800.png | success - 200 |
| 30 | GET | https://images.news18.com/ibnlive/uploads/2026/02/viralbhayani-2026-02-25T133343.981-2026-02-e3f97bafa0195ff7257c778221156063-1200x800.png | success - 200 |
| 31 | GET | https://images.news18.com/ibnlive/uploads/2025/10/Stomach-Pain-or-Discomfort-After-Waking-5-2025-10-cba0c3a40b21aec43f1d7bb62b13f2d3-3x2.jpg | success - 200 |
| 32 | GET | https://images.news18.com/ibnlive/uploads/2025/12/news18-1-2025-12-02fe2dc36ede4492a4cf5d7abad32ff7-3x2.png | success - 200 |
| 33 | GET | https://images.news18.com/ibnlive/uploads/2026/02/699ea2c8602f8-the-february-25-vi-1-2026-02-26c104503d65ff63c4cddc452360d527-1200x800.png | success - 200 |
| 34 | GET | https://images.news18.com/ibnlive/uploads/2026/02/bride-shot-2026-02-fc0371eaa2ac80745a207421fe2e2483-1200x800.jpg | success - 200 |
| 35 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Created-in-1931-this-choker-featured-platinum-rubies-diamonds-and-elegant-pearls-2026-02-25T125841.572-2026-02-47718dad2acbf106ce44e89e9f5cf6b4-1200x800.png | success - 200 |
| 36 | GET | https://images.news18.com/ibnlive/uploads/2026/02/FotoJet-2026-02-25T124237.856-2026-02-4644dc75f3d05632ff1f9353b57a3e37-1200x800.jpg | success - 200 |
| 37 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Water-Shortage-2026-02-0f3fd8d6355d7575c684ec2302046f0f-1200x800.jpg | success - 200 |
| 38 | GET | https://images.news18.com/ibnlive/uploads/2025/06/Kharge-Siddaramaiah-2025-06-f7bb02e5eb979cba085671b838bc095d-3x2.jpg | success - 200 |
| 39 | GET | https://images.news18.com/ibnlive/uploads/2026/02/1772015006_77904e97-23c5-4211-9a73-09161ae8b426-1200x720.jpeg | success - 200 |
| 40 | GET | https://images.news18.com/ibnlive/uploads/2026/02/1-27-2026-02-1006963690d079eb81a28684090ebea1-1200x800.png | success - 200 |
| 41 | GET | https://images.news18.com/ibnlive/uploads/2026/02/punit-canva-2026-02-07T155420.842-2026-02-95bef8e9d418cb3ab9bb878814abd8c8-3x2.png | success - 200 |
| 42 | GET | https://images.news18.com/ibnlive/uploads/2026/02/1-25-2026-02-a697b9f6df0c4d20804758d0a0a63986-1200x800.png | success - 200 |
| 43 | GET | https://images.news18.com/ibnlive/uploads/2026/02/PM-Modi-Jerusalem-Post-edttt-2026-02-3208b87688a49aa592e8bf0ff53f9b74-1200x800.jpg | success - 200 |
| 44 | GET | https://images.news18.com/ibnlive/uploads/2025/10/Supreme-Court-Pahalgam-Plea-2025-10-6c1ad0f92d5b87f7a3d020c929fd33c6-3x2.jpg | success - 200 |
| 45 | GET | https://images.news18.com/ibnlive/uploads/2026/02/FotoJet-2026-02-25T113543.853-2026-02-2d4df1b5ff52bed75f64a8a5701cfd86-1200x800.jpg | success - 200 |
| 46 | GET | https://images.news18.com/ibnlive/uploads/2025/11/tejas-2025-11-ed839b0ae6cd56ebe5877454f536e021-3x2.jpg | success - 200 |
| 47 | GET | https://images.news18.com/ibnlive/uploads/2026/02/1-24-2026-02-8b243993e090747916a2448737c00e71-1200x800.png | success - 200 |
| 48 | GET | https://images.news18.com/ibnlive/uploads/2026/01/image-2026-01-73dc898f9083d974fc9b355b260e07ea-3x2.jpg | success - 200 |
| 49 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Devendra-Fadnavis-2026-02-19d76f09a09cbead19640a5b89da4e68-3x2.jpg | success - 200 |
| 50 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Untitled-design-2026-02-25T101904.654-2026-02-168719de5e4742d67be9db1b8ce57160-1200x800.png | success - 200 |
| 51 | GET | https://images.news18.com/ibnlive/uploads/2026/01/Untitled-design-33-2026-01-69c1fb38ca8c68628522a2213b0be96b-3x2.jpg | success - 200 |
| 52 | GET | https://images.news18.com/ibnlive/uploads/2026/02/JK-2026-02-73817cf59d64e9a379a0c76729b651c9-1200x800.jpg | success - 200 |
| 53 | GET | https://images.news18.com/ibnlive/uploads/2026/02/gbfv-2026-02-e42e7eeed055b8386427a3977737f172-1200x800.jpg | success - 200 |
| 54 | GET | https://images.news18.com/ibnlive/uploads/2026/02/kerala-lottery-results-february-25-2026-2026-02-2fe102cf0a382cd33b4849dcc9ce73be-3x2.jpg | success - 200 |
| 55 | GET | https://images.news18.com/ibnlive/uploads/2026/02/jewar-noida-international-airport-2026-02-736687c5e305c2bf5267c9f70038a1b1-1200x800.png | success - 200 |
| 56 | GET | https://images.news18.com/ibnlive/uploads/2026/02/FotoJet-2026-02-24T060112.122-2026-02-6f4db32b30f8cddc00d4882300735332-3x2.jpg | success - 200 |
| 57 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Untitled-design-2026-02-25T221008.774-2026-02-bbbd65a6b145a94366cbc9d1d0f0795a-1200x800.jpg | success - 200 |
| 58 | GET | https://images.news18.com/ibnlive/uploads/2025/12/Shashi-Tharoor-PTI-2-2025-12-2a3014d3c6f4b09d48c206ae6e1eba28-3x2.jpg | success - 200 |
| 59 | GET | https://images.news18.com/ibnlive/uploads/2025/12/image-2025-12-b1f80b0206ab788fe597f436a6192d60-3x2.jpg | success - 200 |
| 60 | GET | https://images.news18.com/ibnlive/uploads/2026/01/Untitled-design-2026-01-23T163626.387-2026-01-2f4ca9764d2995cb1d62565d1ad80f44-3x2.jpg | success - 200 |
| 61 | GET | https://images.news18.com/ibnlive/uploads/2026/02/image-2026-02-8efd50b9c292e55358714f9db10ab918-3x2.jpg | success - 200 |
| 62 | GET | https://images.news18.com/ibnlive/uploads/2026/02/Untitled-design-2026-02-25T154646.352-2026-02-8b82b57244dc9e17b2eea5b3ab8b29c1-1200x800.jpg | success - 200 |
| 63 | GET | https://images.news18.com/ibnlive/uploads/2026/02/viralbhayani-2026-02-25T154619.797-2026-02-1aaec2e9407730b23efd2e3c29454e11-1200x800.png | success - 200 |
